,name,salary_from,salary_to,salary_currency,area_name,published_at
154,Помощник системного администратора,50000.0,,RUR,Санкт-Петербург,2022-12-23T10:03:31+0300
155,Визуализатор 3Д экстерьеров/3D-артист,200000.0,400000.0,KZT,Алматы,2022-12-23T08:24:32+0300
156,Руководитель IT-службы,800000.0,1000000.0,KZT,Алматы,2022-12-23T11:07:43+0300
157,Python Developer в омниканальные контактные центры,,,,Москва,2022-12-23T10:54:03+0300
158,"Product Manager в направление ""Жизнь в городе""",,,,Москва,2022-12-23T10:47:59+0300
159,Product owner,,,,Москва,2022-12-23T10:09:14+0300
160,Системный администратор,,,,Новосибирск,2022-12-23T06:07:21+0300
161,Разработчик С++/Qt,,,,Москва,2022-12-23T10:29:32+0300
162,Механик по выпуску автотранспорта,,40000.0,RUR,Волгоград,2022-12-23T10:41:56+0300
163,Механик на производство,50000.0,60000.0,RUR,Обь,2022-12-23T07:57:53+0300
164,Инженер по видеонаблюдению,,,,Улан-Удэ,2022-12-23T09:58:47+0300
165,Графический дизайнер в рекламную компанию,25000.0,30000.0,KGS,Бишкек,2022-12-23T09:08:50+0300
166,Программист,,350000.0,KZT,Алматы,2022-12-23T09:28:51+0300
167,"Разработчик мобильных приложений iOS, Логистика, Пункты выдачи заказов",,,,Санкт-Петербург,2022-12-23T09:51:59+0300
168,Специалист по развитию производственной системы (автопром/машиностроение),,200000.0,RUR,Москва,2022-12-23T10:00:03+0300
169,QA engineer,,,,Москва,2022-12-23T10:17:10+0300
170,Контент-мейкер / Копирайтер / SEO,60000.0,,RUR,Санкт-Петербург,2022-12-23T11:32:34+0300
171,Руководитель транспортного отдела/Завгар,3000000.0,7000000.0,UZS,Ташкент,2022-12-23T11:17:49+0300
172,Системный администратор,60000.0,,RUR,Домодедово,2022-12-23T11:02:53+0300
173,"Резчик металла (на пилах, ножовках и станках)",70000.0,,RUR,Москва,2022-12-23T11:12:50+0300
174,Ассистент менеджера по информационным коммуникациям/IS Assistant,,,,Ташкент,2022-12-23T09:03:58+0300
175,Программист,17930.0,,RUR,Балашиха,2022-12-23T11:11:24+0300
176,IT Manager,,,,Астана,2022-12-23T07:37:15+0300
177,"Инженер по тестированию, Логистика, Франшиза для ПВЗ",,,,Санкт-Петербург,2022-12-23T09:54:43+0300
178,Ведущий инженер отдела информационных технологий и связи,51644.0,51644.0,RUR,Новосибирск,2022-12-23T07:09:48+0300
179,Сетевой инженер,,,,Ташкент,2022-12-23T07:18:07+0300
180,Продуктовый аналитик,,,,Москва,2022-12-23T09:51:06+0300
181,Графический - motion дизайнер,,,,Бишкек,2022-12-23T06:51:25+0300
182,Тестировщик Middle (web),,,,Новосибирск,2022-12-23T07:05:56+0300
183,Аналитик,,,,Калининград,2022-12-23T11:10:53+0300
184,Бизнес-аналитик,113000.0,122000.0,RUR,Санкт-Петербург,2022-12-23T11:50:06+0300
185,Специалист отдела систем планирования и прогнозирования,,,,Москва,2022-12-23T11:59:52+0300
186,Специалист технической поддержки/Инженер мониторинга,,70000.0,RUR,Москва,2022-12-23T11:22:22+0300
187,Менеджер проекта (фармацевтическое/химическое производство),,,,Москва,2022-12-23T11:22:05+0300
188,Оператор Excel,45000.0,,RUR,Владивосток,2022-12-23T05:30:32+0300
189,Механик,35000.0,,RUR,Ставрополь,2022-12-23T09:51:05+0300
190,Ассистент в фотостудию,,60000.0,RUR,Домодедово,2022-12-23T09:34:59+0300
191,Системный администратор,90000.0,90000.0,RUR,Красноярск,2022-12-23T08:18:50+0300
192,Специалист по сопровождению разработки (Product Owner),150000.0,,RUR,Москва,2022-12-23T09:19:03+0300
193,Продакт-менеджер,200000.0,,RUR,Москва,2022-12-23T06:31:18+0300
194,DevOps инженер (Dev Ops),1500.0,3500.0,USD,Алматы,2022-12-23T09:50:45+0300
195,Менеджер проекта птицеводство,550000.0,,KZT,Алматы,2022-12-23T06:17:19+0300
196,Программист-стажер Oracle (PL/SQL),,,,Магнитогорск,2022-12-23T06:49:23+0300
197,Руководитель службы цифровизации,88000.0,88000.0,RUR,Санкт-Петербург,2022-12-23T11:56:04+0300
198,Копирайтер B2B-кейсов,,,,Ижевск,2022-12-23T10:28:44+0300
199,Дизайнер,,,,Королев,2022-12-23T10:21:18+0300
200,Механик,42000.0,,RUR,Ростов-на-Дону,2022-12-23T10:26:59+0300
201,Редактор по рецептам (gastronom.ru),,92000.0,RUR,Москва,2022-12-23T09:35:47+0300
202,Frontend-разработчик Middle,,,,Киров (Кировская область),2022-12-23T09:04:23+0300
203,Сотрудник для обновления программы КонсультантПлюс,40000.0,45000.0,RUR,Дудинка (Красноярский край),2022-12-23T10:47:06+0300
204,Специалист по IT,,,,Москва,2022-12-23T09:26:57+0300
